admin;spot2A;2024-02-12 18:39;2024-02-13 00:39;20.0
admin;spot10A;2024-02-12 18:40;2024-02-13 00:40;20.0
admin;spot5A;2024-02-12 18:40;2024-02-13 06:40;40.0
admin;spot6A;2024-02-12 18:40;2024-02-12 22:40;15.0
admin;spot4A;2024-02-12 18:40;2024-02-13 06:40;40.0
admin;spot8A;2024-02-12 18:40;2024-02-13 00:40;20.0
admin;spot9A;2024-02-12 18:40;2024-02-13 06:40;40.0
admin;spot17B;2024-02-12 18:41;2024-02-12 22:41;15.0
seba;spot9B;2024-02-12 22:19;2024-02-13 04:19;20.0
seba;spot8B;2024-02-12 22:19;2024-02-12 23:19;5.0
seba;spot5B;2024-02-12 22:19;2024-02-13 10:19;40.0
seba;spot6B;2024-02-12 22:19;2024-02-13 10:19;40.0
seba;spot19B;2024-02-12 22:20;2024-02-13 02:20;15.0
seba;spot15B;2024-02-12 22:20;2024-02-13 04:20;20.0
admin;spot35C;2024-02-12 22:21;2024-02-13 04:21;20.0
admin;spot33C;2024-02-12 22:21;2024-02-13 04:21;20.0
admin;spot34C;2024-02-12 22:21;2024-02-13 10:21;40.0
admin;spot32C;2024-02-12 22:21;2024-02-13 04:21;20.0
admin;spot31C;2024-02-12 22:21;2024-02-13 02:21;15.0
admin;spot30C;2024-02-12 22:21;2024-02-13 02:21;15.0
admin;spot14B;2024-02-12 22:21;2024-02-13 04:21;20.0
admin;spot16B;2024-02-12 22:21;2024-02-13 02:21;15.0
admin;spot6A;2024-02-12 22:44;2024-02-12 23:44;5.0
